"","gamePlayID","type..0.punt.","X.19.playerID","X.20.playerID","X.21.playerID","X.11.playerID","X.12.playerID","X.13.playerID","X.14.playerID","X.15.playerID","X.16.playerID","X.17.playerID","X.18.playerID","X.0.playerID","X.1.playerID","X.2.playerID","X.3.playerID","X.4.playerID","X.5.playerID","X.6.playerID","X.7.playerID","X.8.playerID","X.9.playerID","X.10.playerID","X.19.x","X.19.y","X.19.v","X.19.a","X.19.distance","X.19.orientation","X.19.direction","X.20.x","X.20.y","X.20.v","X.20.a","X.20.distance","X.20.orientation","X.20.direction","an20","d20","ss21","X.21.x","X.21.y","X.21.v","X.21.a","X.21.distance","X.21.orientation","X.21.direction","an19","d19","ss20","X.11.x","X.11.y","X.11.v","X.11.a","X.11.distance","X.11.orientation","X.11.direction","an18","d18","ss19","X.12.x","X.12.y","X.12.v","X.12.a","X.12.distance","X.12.orientation","X.12.direction","an17","d17","ss18","X.13.x","X.13.y","X.13.v","X.13.a","X.13.distance","X.13.orientation","X.13.direction","an16","d16","ss17","X.14.x","X.14.y","X.14.v","X.14.a","X.14.distance","X.14.orientation","X.14.direction","an15","d15","ss16","X.15.x","X.15.y","X.15.v","X.15.a","X.15.distance","X.15.orientation","X.15.direction","an14","d14","ss15","X.16.x","X.16.y","X.16.v","X.16.a","X.16.distance","X.16.orientation","X.16.direction","an13","d13","ss14","X.17.x","X.17.y","X.17.v","X.17.a","X.17.distance","X.17.orientation","X.17.direction","an12","d12","ss13","X.18.x","X.18.y","X.18.v","X.18.a","X.18.distance","X.18.orientation","X.18.direction","an11","d11","ss12","X.0.x","X.0.y","X.0.v","X.0.a","X.0.distance","X.0.orientation","X.0.direction","an10","d10","ss11","X.1.x","X.1.y","X.1.v","X.1.a","X.1.distance","X.1.orientation","X.1.direction","an9","d9","ss10","X.2.x","X.2.y","X.2.v","X.2.a","X.2.distance","X.2.orientation","X.2.direction","an8","d8","ss9","X.3.x","X.3.y","X.3.v","X.3.a","X.3.distance","X.3.orientation","X.3.direction","an7","d7","ss8","X.4.x","X.4.y","X.4.v","X.4.a","X.4.distance","X.4.orientation","X.4.direction","an6","d6","ss7","X.5.x","X.5.y","X.5.v","X.5.a","X.5.distance","X.5.orientation","X.5.direction","an5","d5","ss6","X.6.x","X.6.y","X.6.v","X.6.a","X.6.distance","X.6.orientation","X.6.direction","an4","d4","ss5","X.7.x","X.7.y","X.7.v","X.7.a","X.7.distance","X.7.orientation","X.7.direction","an3","d3","ss4","X.8.x","X.8.y","X.8.v","X.8.a","X.8.distance","X.8.orientation","X.8.direction","an2","d2","ss3","X.9.x","X.9.y","X.9.v","X.9.a","X.9.distance","X.9.orientation","X.9.direction","an1","d1","ss2","X.10.x","X.10.y","X.10.v","X.10.a","X.10.distance","X.10.orientation","X.10.direction","an","d","ss1"
"74",2.5e+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,94.63,32.25,0.86,1.86,0.09,291.28,290.83,76.93,51.79,2.56,6.32,0.27,261.65,119.65,5.54715623281134,26.3647795363435,0.0352893824586821,63.51,37.45,8.88,1.21,0.89,81.47,84.63,4.87795449812532,31.5514563847693,2.50898004754893e-08,62,24.41,8.51,1.23,0.85,80.77,81.4,4.47658901294025,33.5586427019926,3.70972001489501e-07,75.85,50.68,2.09,3.83,0.23,276.85,71.84,5.48838134752964,26.312607244437,0.0397315907564106,74.73,31.52,7.93,1.78,0.81,70.41,77.35,4.67572200465555,19.9133849458097,0.0131562765535078,72.37,30.88,7.91,1.34,0.8,49.23,69.36,4.65092113925151,22.3021187334298,0.0292895644529319,75.81,29.48,9.18,1.71,0.93,51.92,75.3,4.56625434799335,19.0227574236755,0.0284896293134258,66.41,28.73,8.49,0.97,0.85,82.25,85.52,4.58829567459678,28.4386849203686,1.04897401197316e-05,51.15,36.74,7.71,1.08,0.77,86.45,83.41,4.81529011040591,43.7112170958439,1.32894035976352e-10,68.81,37.46,9.1,1.36,0.92,58.67,95.49,4.91149699481855,26.340396732016,7.60699835692322e-06,40.5,25.41,5.7,0.53,0.57,79.82,78.54,4.5866927117491,54.5604481286582,-5.16382753777799e-10,69.19,38.86,8.91,1.67,0.9,134.51,101.32,4.96659502764277,26.284704677816,-0.00754606756846558,66.79,30.99,8.12,1.2,0.82,84.35,84.83,4.66716122349459,27.8684983449055,-3.7775448558554e-05,68.65,27.16,9.09,1.09,0.91,91.16,91.4,4.51891961711735,26.473921130048,-2.32634126800475e-06,68.52,32.13,8.77,1.2,0.89,80.91,83.42,4.70779307249101,26.110275754959,-1.4634850150344e-05,75.64,30.47,8.77,2.15,0.89,117.17,70.73,4.61892851190758,19.0732404168772,-0.00390434813083308,75.48,50.96,2.24,3.39,0.23,102.9,143.09,5.48616590257738,26.7728705969308,-0.0236844022865826,62.59,23.11,8.44,0.93,0.85,89.85,81.85,4.43450159048551,33.3181812228699,-2.19438310993028e-07,65.6,41.85,9.13,1.77,0.91,95.57,85.86,5.03176080310079,30.5761492016245,-1.34939526558592e-07,68.71,36.05,9.39,1.32,0.94,78.1,89.48,4.85795693190936,26.1970685382926,-3.32669167660492e-07,51.79,40.03,8.53,0.74,0.85,93.33,85.06,4.89203705700832,43.5407165765562,-6.38729425287721e-13
"75",2.5e+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,94.53,32.27,1.13,2.27,0.1,290.19,276.65,77.12,51.63,2.53,6.08,0.25,255,136.7,5.55076987421761,26.0368527283925,0.0353675344943485,64.4,37.52,8.89,1.47,0.89,78.03,85.81,4.8849019282597,30.5839729270087,7.09857877786764e-08,62.84,24.54,8.52,1.47,0.86,80.77,80.22,4.47313558743983,32.6191508166598,8.35946290996187e-07,76.03,50.72,1.71,3.77,0.19,269,79.6,5.49643396463514,26.1276194859004,0.0379670241444915,75.51,31.73,7.92,1.92,0.8,69.59,75.35,4.68400543781776,19.0276640710309,0.0198685458004227,73.12,31.17,7.91,1.26,0.81,45.51,69.36,4.66105625522287,21.4382392000836,0.0506556022119292,76.7,29.72,9.09,1.63,0.92,50.61,75.08,4.57033489060594,18.011424152465,0.0519757742614188,67.26,28.79,8.54,0.95,0.86,84.07,86.07,4.58546225355415,27.4911494848797,1.58951040498808e-05,51.94,36.79,7.82,1.2,0.79,86.45,84.4,4.81812140317143,42.8291781382739,1.64584907238351e-10,69.72,37.39,9.03,1.63,0.91,52.03,94.7,4.91590043518085,25.3327949504195,6.22922218778123e-05,41.07,25.52,5.78,0.36,0.58,81.53,78.33,4.58679097839855,53.8844513751416,-5.32554165800033e-10,70.06,38.69,8.77,1.8,0.89,133.87,101.5,4.96896827362741,25.2981679178552,-0.0113569638509288,67.6,31.04,8.19,0.8,0.81,88.86,85.33,4.66674673147075,26.9580748570813,-4.92712641597601e-05,69.56,27.13,9.07,1.25,0.91,91.16,92.2,4.50937766296849,25.4935383970135,-6.90618250455878e-06,69.4,32.22,8.73,1.32,0.88,81.79,83.62,4.71039932920994,25.1300497412958,-3.67458906850702e-05,76.46,30.75,8.58,2.21,0.87,113.5,71.23,4.62846921778708,18.1338164764067,-0.00795244276883947,75.6,50.78,2.23,2.71,0.22,98.37,150.03,5.48656966559309,26.4757436156192,-0.0252088993357971,63.44,23.23,8.45,0.94,0.86,89.85,82.01,4.42942260374083,32.377611091617,-5.12337440716181e-07,66.51,41.9,9.12,1.91,0.91,92.57,87.49,5.04342521089361,29.6286567363423,-2.4700174467815e-07,69.64,36.06,9.33,1.46,0.94,71.22,88.91,4.86349822242398,25.1768981409545,-2.22708166167718e-06,52.65,40.1,8.57,0.76,0.86,93.33,85.6,4.89721787683471,42.6056721575895,-1.51446124805621e-12
"76",2.5e+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,94.39,32.27,1.48,2.76,0.14,290.19,269.59,77.27,51.41,2.79,5.76,0.27,255.63,152.14,5.55343839074043,25.679447034545,0.0386937625958098,65.28,37.59,8.82,1.55,0.89,78.03,86.41,4.89314923525584,29.592135779629,3.04351889453183e-07,63.68,24.69,8.51,1.51,0.85,83.2,79.36,4.47040064724962,31.6316376433469,1.39417954639809e-06,76.19,50.72,1.47,3.61,0.16,264.26,93.68,5.50460832038833,25.9160664453539,0.0384918491057988,76.27,31.94,7.85,1.96,0.79,68.89,73.95,4.6941790729281,18.1230047177614,0.0310896726173213,73.88,31.46,7.92,1.22,0.81,44.89,69.36,4.67291656317686,20.5259884049465,0.0651005825584607,77.56,29.97,8.92,1.91,0.9,49.52,74.57,4.57656961299776,16.9864328215196,0.0913382204563497,68.13,28.84,8.62,0.95,0.87,85.78,86.76,4.58250736888228,26.483060623727,2.32171148080523e-05,52.72,36.83,7.86,1.32,0.78,87.24,85.46,4.82138651763239,41.9187607164143,3.34619396235815e-10,70.63,37.32,8.97,1.71,0.91,42.56,94.38,4.92181464213236,24.2907410343942,0.000675617710087204,41.64,25.63,5.84,0.23,0.58,83.91,78.41,4.58717079083022,53.1662684415598,-5.70754078291647e-10,70.92,38.52,8.65,1.98,0.88,129.53,101.64,4.97264659028652,24.2879270420512,-0.0104580906076153,68.39,31.09,8.15,1.23,0.8,88.86,85.89,4.66703548706859,26.0267631487283,-0.000108781617405822,70.46,27.09,9.04,1.42,0.91,91.78,93,4.49921326769814,24.4842255340045,-1.99286397484706e-05,70.29,32.3,8.74,1.22,0.89,80.88,84.13,4.71363379301973,24.1000186721919,-8.38390689312115e-05,77.27,31.02,8.38,2.37,0.85,111.91,71.81,4.63950429530761,17.1655731043272,-0.0167354816895452,75.7,50.58,2.28,2.12,0.23,96.1,155.7,5.48751723458642,26.164330681292,-0.0270812766787686,64.3,23.35,8.5,0.94,0.86,86.28,82.11,4.4241977544734,31.3843034015414,-1.68735727151359e-06,67.43,41.93,9.14,1.92,0.92,92.57,88.92,5.05644641505856,28.6383868260766,-6.69250968074225e-07,70.57,36.09,9.22,1.8,0.93,69.23,88.14,4.8714044377158,24.1243611314373,-1.29681023139159e-05,53.51,40.16,8.71,0.56,0.87,91,86.1,4.90304857352855,41.6344388697626,-9.5805611550519e-13
"77",2.5e+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,94.21,32.27,1.96,3.24,0.18,290.19,267.08,77.38,51.13,3.14,5.42,0.3,252.66,163.77,5.55460460240997,25.2774306447471,0.0398475135001575,66.16,37.64,8.78,1.51,0.88,80.17,86.95,4.90154410047397,28.559401254228,1.0210086853859e-06,64.52,24.85,8.51,1.34,0.85,80.33,78.79,4.46748956912008,30.6031452631915,5.36363057499485e-06,76.32,50.66,1.38,3.84,0.15,254.8,117.8,5.51156796924357,25.6562701887862,0.0391579657132904,77.02,32.16,7.77,1.87,0.78,68.89,73,4.70598999849946,17.1903519452046,0.0463416457935388,74.62,31.74,7.85,1.35,0.8,38.52,69.32,4.68534095868172,19.5971681627729,0.12891412416568,78.41,30.21,8.72,2.22,0.88,46.2,74.14,4.58274055871116,15.9337252392527,0.172974052328196,68.99,28.89,8.63,0.98,0.87,88.54,87.5,4.57916222874431,25.4454868296914,4.33742837616573e-05,53.51,36.85,7.94,1.37,0.79,90.19,86.67,4.8244482713905,40.9568846471506,6.12825941916276e-10,71.53,37.28,8.89,2,0.9,30.89,92.9,4.92979706954376,23.2267625811261,0.00824471368665845,42.22,25.75,5.88,0.26,0.59,81.98,79.12,4.58763156184677,52.3972375226023,-1.15250638711438e-09,71.76,38.35,8.44,2.27,0.85,124.36,101.05,4.97686871720146,23.2587381429002,-0.0105583249370677,69.2,31.13,8.12,1.43,0.81,89.79,86.38,4.66683874217099,25.0359681258784,-0.000228469769454901,71.37,27.04,9.09,1.25,0.91,89.68,93.55,4.48728553392446,23.431143804774,-4.94256178040132e-05,71.16,32.38,8.68,1.38,0.87,79.47,85.16,4.71716117843053,23.0502624713906,-0.000241002199770123,78.06,31.26,8.11,2.75,0.82,110.19,73.05,4.64993162137368,16.1815512235385,-0.0342211678747249,75.79,50.36,2.37,1.58,0.23,90.74,159.48,5.48874877035541,25.8175231189981,-0.0288545735606344,65.14,23.46,8.42,1.22,0.85,88.15,82.29,4.41812577319448,30.3756646017828,-4.48876811543937e-06,68.35,41.93,9.12,2.1,0.92,93.96,90.61,5.06988771035925,27.6053473080851,-2.84126671991052e-06,71.49,36.12,9.1,1.96,0.92,64.09,87.51,4.88024864495113,23.0438907305168,-8.55631603832704e-05,54.38,40.22,8.72,0.49,0.87,91,86.19,4.90939825343582,40.6156546174009,-3.48653450012724e-12
"78",2.5e+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,93.98,32.25,2.46,3.47,0.23,283.04,264.52,77.45,50.81,3.47,4.9,0.33,253.34,171.2,5.55557397455308,24.8538628788364,0.0433439099028779,67.04,37.68,8.74,1.55,0.88,80.17,87.64,4.91128314754772,27.4817848765323,3.43278857561064e-06,65.35,25.02,8.49,1.21,0.85,79.48,78.21,4.4650283915777,29.528796114979,1.57434694193987e-05,76.43,50.57,1.48,3.8,0.14,247.82,137.76,5.51925025387398,25.3697634990947,0.0407249730953605,77.76,32.4,7.67,1.73,0.77,67.77,72.16,4.72163655893525,16.220693573334,0.0710193271922002,75.36,32.03,7.79,1.43,0.79,35.33,68.76,4.70057427772571,18.6212996324102,0.186982066446982,79.23,30.44,8.42,2.72,0.85,39.68,74.21,4.59028755017254,14.8606392863833,0.328481590418387,69.87,28.91,8.69,1.04,0.87,89.62,88.39,4.57473337382222,24.3402485607686,7.9683341535943e-05,54.3,36.85,7.91,1.6,0.78,95.15,87.6,4.82780122488263,39.9457432024991,2.98962623618115e-09,72.43,37.24,8.85,1.96,0.9,15.41,92.06,4.9399332877746,22.1201853518455,0.0898527966848834,42.8,25.86,5.9,0.41,0.59,84.12,79.43,4.58817827557071,51.5773642211387,-1.59359829104977e-09,72.58,38.21,8.17,2.68,0.83,121.67,100.08,4.98401052941591,22.2144457504571,-0.0160274847610505,70.01,31.15,8.16,1.71,0.82,93.26,87.05,4.66653045763279,23.9952266086403,-0.000392107451813615,72.28,26.98,9.09,1.37,0.91,89.68,94.57,4.47414422220595,22.3307612946805,-0.000130476710863601,72.02,32.45,8.62,1.37,0.87,78.51,85.66,4.72149619671181,21.9609107279275,-0.000637722618283263,78.82,31.48,7.82,3.15,0.8,107.49,74.55,4.66164103322633,15.1795421538332,-0.0626830779841225,75.88,50.11,2.67,1.62,0.26,89.88,162.69,5.49111316056119,25.4281261598255,-0.0309893617800467,66,23.57,8.49,1.12,0.87,90.79,82.46,4.41158116367786,29.2954399181852,-6.15922126346459e-06,69.26,41.9,9.1,2.14,0.92,95.07,92.07,5.08456804823612,26.5367839046106,-1.10057815967828e-05,72.4,36.15,9.09,1.57,0.92,61.5,87.99,4.89118203518761,21.9295781993179,-0.000256608675464598,55.26,40.28,8.73,0.6,0.87,92.91,86.25,4.91687661990889,39.5438908050283,-1.82397200081617e-11
"79",2.5e+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,93.72,32.22,2.86,3.44,0.27,281.87,263.82,77.48,50.44,3.81,4.23,0.36,254.18,177.2,5.55518196019292,24.407089134102,0.047189535372832,67.93,37.71,8.77,1.31,0.88,76.87,88.07,4.92213142840687,26.3678630154209,8.34414635323494e-06,66.18,25.19,8.46,1.19,0.85,79.48,77.78,4.46246112991763,28.4230980014494,4.06048366115718e-05,76.52,50.44,1.7,3.56,0.16,238.31,150.25,5.52657647703134,25.0561050444797,0.041512567996843,78.49,32.64,7.67,1.3,0.77,68.36,71.8,4.73995914313352,15.2357901009432,0.0930485818902157,76.07,32.31,7.65,1.66,0.77,33.48,68.17,4.71748808633212,17.6502294602648,0.24400588718493,80.03,30.67,8.16,2.92,0.83,31.7,73.74,4.59964776094531,13.7774671111928,0.445449497217795,70.74,28.93,8.69,1.13,0.87,89.62,89.03,4.57018732633822,23.214316703276,0.000189849204119909,55.1,36.85,7.97,1.76,0.8,95.15,88.63,4.8317055915953,38.8965461191608,6.04456297235036e-09,73.31,37.22,8.71,2.07,0.88,5.12,91.22,4.9526354535354,21.013521837141,0.275094267827699,43.39,25.97,5.97,0.37,0.6,85.47,79.2,4.58884104868699,50.7165791433137,-2.13502538813464e-09,73.38,38.1,7.92,2.96,0.81,118.09,98.42,4.99380268148425,21.1728599863127,-0.0223117446047112,70.79,31.17,8.08,1.89,0.78,90.93,87.6,4.66662940693611,22.9540279689644,-0.000934138969214526,73.19,26.9,9.08,1.25,0.91,88.69,94.88,4.45883321743796,21.2080951525591,-0.000373635127152584,72.88,32.51,8.57,1.67,0.86,78.51,86.8,4.72630362930045,20.8420176566474,-0.00147991660836322,79.56,31.66,7.47,3.78,0.76,104.43,76.89,4.67286155676867,14.1710691198653,-0.0672121911669078,75.96,49.85,2.79,1.25,0.27,89.88,164.08,5.49411380624936,25.0246778201039,-0.0340884929733754,66.86,23.67,8.5,1.17,0.86,87.96,83.27,4.40421326806476,28.1879779338639,-2.1060239553504e-05,70.18,41.86,9.07,2.13,0.91,95.07,93.35,5.10107155141223,25.4373976656418,-3.56966296224122e-05,73.31,36.17,8.99,1.61,0.91,65.55,88.57,4.90355820560075,20.7887132838952,-0.000576363773121892,56.13,40.33,8.74,0.86,0.88,96.14,86.88,4.92488081248684,38.4549112598118,-1.27016030776369e-10
"80",2.5e+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,93.41,32.2,3.28,3.22,0.31,282.51,265.41,77.48,50.04,4.16,3.79,0.4,258.23,182.01,5.55428602588554,23.9171591122357,0.0559116058377451,68.8,37.74,8.72,1.35,0.88,73.47,88.68,4.93380977896746,25.2258538012096,2.92410830737295e-05,67.01,25.37,8.43,1.01,0.84,81.26,78.2,4.45922763054944,27.269193240725,8.19586028521391e-05,76.61,50.27,1.96,3.12,0.19,227.3,158.2,5.53419204483276,24.6731615323209,0.0420972714432566,79.22,32.87,7.6,1.18,0.76,69.9,71.65,4.75957028900038,14.2058086711035,0.0818738788342321,76.77,32.6,7.47,1.94,0.76,30.43,67.76,4.73642281333845,16.6448069979799,0.324807452557747,80.81,30.91,7.94,2.94,0.81,16.24,72.87,4.61036350925467,12.6658635710322,0.690268190345159,71.62,28.93,8.77,1.18,0.88,89.62,90.1,4.56343170933103,22.033996460016,0.000357516900633935,55.89,36.83,7.97,1.46,0.79,95.87,89.58,4.83516912141535,37.8045936362236,1.86895370727215e-08,74.17,37.2,8.53,2.24,0.86,356.37,90.6,4.96664019375835,19.8790744251336,0.475521604239058,43.99,26.08,6.08,0.38,0.61,89.76,79.9,4.58917974602202,49.7974979291129,-2.07965100541445e-09,74.15,37.99,7.65,3.15,0.78,114.51,97.24,5.00441728501608,20.1114817952333,-0.0320505592065241,71.56,31.18,7.95,1.92,0.76,89.59,88.26,4.66574092369627,21.873794823944,-0.00232133651435829,74.09,26.83,9.03,1.27,0.91,88.03,94.87,4.4412819634744,20.0524138197874,-0.0011285784611434,73.74,32.55,8.54,1.94,0.85,82.38,88.29,4.73018069715891,19.6731136325697,-0.0028091459692136,80.27,31.8,7.09,4.51,0.73,101.27,80.13,4.68195697798949,13.1460868702439,-0.0661895663783001,76.04,49.58,2.88,0.88,0.28,90.97,163.71,5.49807491355837,24.5719616636523,-0.0383202765986827,67.71,23.76,8.51,1.15,0.86,86.3,84.07,4.39508076291009,27.0503900156726,-6.2178348712592e-05,71.08,41.78,9,2.37,0.91,93.04,95.22,5.11765904279331,24.2982571391448,-9.69503889821899e-05,74.2,36.19,8.8,2.06,0.89,68.41,89.31,4.91718144650982,19.6199949031594,-0.00179588723894489,57.01,40.37,8.69,1.09,0.87,101.59,87.19,4.93318038629184,37.3056148588922,-2.55226209834526e-09
"81",2.5e+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,93.06,32.18,3.59,2.73,0.34,281.38,266.73,77.45,49.61,4.4,3,0.43,258.23,185.11,5.5528162756758,23.3982264285138,0.0612652500899531,69.68,37.76,8.65,1.38,0.87,71.22,88.71,4.94667178500633,24.0366553413739,0.000102377249155274,67.84,25.53,8.38,1.17,0.84,78.59,79.08,4.45457739393815,26.0820033739742,0.000300993085330274,76.69,50.07,2.21,2.58,0.21,213.96,161.05,5.54212467605343,24.2493092685132,0.0429499234409713,79.94,33.11,7.53,1.2,0.76,71.51,71.63,4.78315476275722,13.1529198279317,0.0629303058957513,77.46,32.88,7.31,2.07,0.74,26.1,67.6,4.75723069546357,15.6156972306715,0.42618174819027,81.55,31.12,7.56,3.24,0.77,351.73,73.61,4.62055418967505,11.5587066750567,0.646901998333756,72.5,28.92,8.8,1.25,0.88,90.9,90.97,4.55513778527806,20.8168489450253,0.000750778699274573,56.7,36.78,8.06,1.45,0.81,97.59,90.79,4.83823307630812,36.6498240104915,4.17644341101446e-08,75.02,37.2,8.39,2.21,0.85,343.29,89.96,4.98379320877137,18.7254372445612,0.616254396603897,44.61,26.19,6.21,0.31,0.62,89.76,80.21,4.58938056395133,48.8188754479249,-2.83252253910123e-09,74.89,37.91,7.34,3.41,0.75,107.41,95.69,5.01787270942714,19.0520812511389,-0.0406868527978592,72.31,31.17,7.83,2.31,0.76,90.36,89.01,4.66375266749622,20.7745661807894,-0.00505016934951546,74.99,26.76,8.99,1.31,0.9,84.91,94.91,4.42098295763708,18.8653465380311,-0.00368274475803926,74.58,32.57,8.47,2.07,0.85,82.99,89.52,4.73348974428031,18.4841148016344,-0.00625169536718208,80.95,31.9,6.71,4.89,0.69,98.63,83.62,4.6892717120004,12.1132365617121,-0.0683487370125383,76.14,49.29,3.04,0.73,0.31,93.14,162.96,5.50337039461157,24.0632188204322,-0.0437600882947931,68.57,23.84,8.5,1.32,0.86,86.3,84.89,4.3841600909986,25.8711364265275,-0.000158614115388794,71.98,41.68,8.99,2.48,0.91,93.04,97.21,5.13579506579893,23.1217732883964,-0.000266893681534418,75.07,36.18,8.67,2.2,0.88,76.48,90.22,4.93117563563364,18.4293271716577,-0.00408273820405741,57.88,40.41,8.72,1.08,0.88,109.86,87.59,4.94219593089375,36.129839468229,-6.86895814501828e-08
"82",2.5e+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,92.69,32.18,3.87,2.57,0.37,280.11,271.44,77.41,49.17,4.58,2.22,0.45,255.91,187.09,5.55072802204556,22.850350106727,0.0636116755965425,70.54,37.77,8.58,1.5,0.86,71.22,89.23,4.95959717586152,22.844487300003,0.000301032784443728,68.66,25.68,8.35,1.43,0.84,80.94,80.09,4.44821563732614,24.8935915448133,0.000543302177821956,76.77,49.85,2.41,1.93,0.23,196.43,161.65,5.54983892223787,23.783929448264,0.046130599248308,80.65,33.34,7.45,1.29,0.75,73.26,71.83,4.8084380369689,12.095751320195,0.050935923686825,78.13,33.15,7.05,2.41,0.72,21.02,67.82,4.77891155907598,14.5922753537617,0.505677363684215,82.26,31.32,7.21,3.42,0.74,340.46,74.06,4.63012062559562,10.4653953580359,0.494073484945882,73.38,28.9,8.77,1.36,0.88,93.2,91.65,4.54413472289204,19.5865898001668,0.00175536739443441,57.5,36.73,8.05,1.64,0.8,100.07,91.76,4.84097368368869,35.4829339260439,1.69200997561109e-07,75.85,37.2,8.18,2.39,0.83,333.93,89.62,5.00210152720379,17.5723077596541,0.593557882675314,45.23,26.29,6.26,0.41,0.63,90.94,80.81,4.58891579695361,47.8240912093476,-4.86318749887337e-09,75.61,37.85,7.01,3.48,0.72,102.67,94.44,5.03290952310152,17.9965357777546,-0.0597718113962172,73.05,31.16,7.71,2.54,0.74,92.48,89.69,4.66050077140659,19.6664689255596,-0.0100726139408001,75.89,26.7,8.89,1.57,0.9,81.42,93.85,4.39708071338279,17.6711742677163,-0.0124816597236914,75.43,32.57,8.38,2.11,0.84,82.99,90.65,4.734980732841,17.2644055791099,-0.0136943393535898,81.6,31.94,6.31,5.5,0.65,94.95,88.46,4.69075123976383,11.0925966301854,-0.0765274522617976,76.23,48.94,3.39,1.08,0.36,94.47,164.84,5.50681760269354,23.4910451023363,-0.0498130347347501,69.41,23.91,8.42,1.46,0.85,86.89,85.27,4.37105316970789,24.7052889074384,-0.00043622253776992,72.87,41.55,8.92,2.5,0.9,93.04,98.84,5.15400383616887,21.9232593379725,-0.000815122870887291,75.94,36.16,8.54,2.45,0.86,78.35,91.87,4.94567474167026,17.21635559577,-0.0101163469298235,58.76,40.42,8.73,1.56,0.88,108.34,89.57,4.95062976270485,34.9162211586535,-1.45573501259299e-07
"83",2.5e+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,92.29,32.2,4.08,2.55,0.4,280.11,274.83,77.35,48.71,4.66,1.41,0.46,258.88,188.4,5.54766624616647,22.2662008434308,0.0781743603716751,71.4,37.78,8.57,1.43,0.86,71.22,89.87,4.97340844840302,21.6224073590338,0.000706902992712523,69.49,25.81,8.32,1.75,0.84,81.7,81.54,4.43913626773765,23.6785155784733,0.00117346324664111,76.85,49.62,2.6,1.43,0.25,187.75,161.18,5.55797000798367,23.2776717048763,0.051778397547829,81.35,33.57,7.34,1.46,0.74,74.72,72.42,4.83696897211519,11.0254478367094,0.0461124760749066,78.76,33.4,6.67,2.96,0.68,11.35,68.36,4.80084931104465,13.5831108366235,0.576687991286681,82.93,31.5,6.8,3.68,0.7,320.14,75,4.63774161607046,9.38613871621339,0.260444067433221,74.27,28.86,8.81,1.36,0.89,92.38,92.53,4.52911919324834,18.3269200904025,0.00373068327154403,58.32,36.67,8.11,1.8,0.82,100.07,92.65,4.84322399138705,34.2628340917677,3.75984343158508e-07,76.65,37.21,7.86,2.8,0.8,325.76,89.32,5.02239349307241,16.4228408017614,0.547360161674311,45.85,26.39,6.28,0.47,0.63,92.54,81.29,4.58792797783472,46.8020266655195,-9.38634235195574e-09,76.29,37.8,6.64,3.56,0.68,98.07,93.44,5.04906379977142,16.9516960803337,-0.0881989285365441,73.75,31.13,7.49,2.67,0.7,89.81,90.45,4.65473987658471,18.5708508151888,-0.0217264013965616,76.77,26.65,8.76,1.96,0.88,77.74,92.81,4.36895692669439,16.4825028439251,-0.0375743490370382,76.26,32.55,8.27,2.14,0.83,81.79,91.76,4.73421957288897,16.0338205054192,-0.028934802128175,82.21,31.93,5.93,5.92,0.61,90.25,93.82,4.68560966936492,10.0836154230514,-0.0934671047133437,76.32,48.6,3.55,0.96,0.35,101.79,164.88,5.51107026734632,22.891065942852,-0.0612107608922071,70.26,23.98,8.41,1.27,0.85,85.48,85.61,4.3552609168996,23.5135981933859,-0.00116511702227868,73.75,41.4,8.83,2.48,0.89,94.65,100.27,5.1730115337901,20.6971398990295,-0.00272159015689288,76.78,36.11,8.37,2.92,0.85,79.93,94.06,4.95933883125416,15.9952555465676,-0.0237479120925831,59.65,40.4,8.76,1.86,0.89,102.1,91.38,4.95852071304953,33.6542657028793,-9.91615707073394e-08
