,gamePlayID,type (0=punt),#19 playerID,#20 playerID,#21 playerID,#11 playerID,#12 playerID,#13 playerID,#14 playerID,#15 playerID,#16 playerID,#17 playerID,#18 playerID,#0 playerID,#1 playerID,#2 playerID,#3 playerID,#4 playerID,#5 playerID,#6 playerID,#7 playerID,#8 playerID,#9 playerID,#10 playerID,#19 x,#19 y,#19 v,#19 a,#19 distance,#19 orientation,#19 direction,#20 x,#20 y,#20 v,#20 a,#20 distance,#20 orientation,#20 direction,#21 x,#21 y,#21 v,#21 a,#21 distance,#21 orientation,#21 direction,#11 x,#11 y,#11 v,#11 a,#11 distance,#11 orientation,#11 direction,#12 x,#12 y,#12 v,#12 a,#12 distance,#12 orientation,#12 direction,#13 x,#13 y,#13 v,#13 a,#13 distance,#13 orientation,#13 direction,#14 x,#14 y,#14 v,#14 a,#14 distance,#14 orientation,#14 direction,#15 x,#15 y,#15 v,#15 a,#15 distance,#15 orientation,#15 direction,#16 x,#16 y,#16 v,#16 a,#16 distance,#16 orientation,#16 direction,#17 x,#17 y,#17 v,#17 a,#17 distance,#17 orientation,#17 direction,#18 x,#18 y,#18 v,#18 a,#18 distance,#18 orientation,#18 direction,#0 x,#0 y,#0 v,#0 a,#0 distance,#0 orientation,#0 direction,#1 x,#1 y,#1 v,#1 a,#1 distance,#1 orientation,#1 direction,#2 x,#2 y,#2 v,#2 a,#2 distance,#2 orientation,#2 direction,#3 x,#3 y,#3 v,#3 a,#3 distance,#3 orientation,#3 direction,#4 x,#4 y,#4 v,#4 a,#4 distance,#4 orientation,#4 direction,#5 x,#5 y,#5 v,#5 a,#5 distance,#5 orientation,#5 direction,#6 x,#6 y,#6 v,#6 a,#6 distance,#6 orientation,#6 direction,#7 x,#7 y,#7 v,#7 a,#7 distance,#7 orientation,#7 direction,#8 x,#8 y,#8 v,#8 a,#8 distance,#8 orientation,#8 direction,#9 x,#9 y,#9 v,#9 a,#9 distance,#9 orientation,#9 direction,#10 x,#10 y,#10 v,#10 a,#10 distance,#10 orientation,#10 direction
74,2.50E+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,94.63,32.25,0.86,1.86,0.09,291.28,290.83,76.93,51.79,2.56,6.32,0.27,261.65,119.65,63.51,37.45,8.88,1.21,0.89,81.47,84.63,62,24.41,8.51,1.23,0.85,80.77,81.4,75.85,50.68,2.09,3.83,0.23,276.85,71.84,74.73,31.52,7.93,1.78,0.81,70.41,77.35,72.37,30.88,7.91,1.34,0.8,49.23,69.36,75.81,29.48,9.18,1.71,0.93,51.92,75.3,66.41,28.73,8.49,0.97,0.85,82.25,85.52,51.15,36.74,7.71,1.08,0.77,86.45,83.41,68.81,37.46,9.1,1.36,0.92,58.67,95.49,40.5,25.41,5.7,0.53,0.57,79.82,78.54,69.19,38.86,8.91,1.67,0.9,134.51,101.32,66.79,30.99,8.12,1.2,0.82,84.35,84.83,68.65,27.16,9.09,1.09,0.91,91.16,91.4,68.52,32.13,8.77,1.2,0.89,80.91,83.42,75.64,30.47,8.77,2.15,0.89,117.17,70.73,75.48,50.96,2.24,3.39,0.23,102.9,143.09,62.59,23.11,8.44,0.93,0.85,89.85,81.85,65.6,41.85,9.13,1.77,0.91,95.57,85.86,68.71,36.05,9.39,1.32,0.94,78.1,89.48,51.79,40.03,8.53,0.74,0.85,93.33,85.06
75,2.50E+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,94.53,32.27,1.13,2.27,0.1,290.19,276.65,77.12,51.63,2.53,6.08,0.25,255,136.7,64.4,37.52,8.89,1.47,0.89,78.03,85.81,62.84,24.54,8.52,1.47,0.86,80.77,80.22,76.03,50.72,1.71,3.77,0.19,269,79.6,75.51,31.73,7.92,1.92,0.8,69.59,75.35,73.12,31.17,7.91,1.26,0.81,45.51,69.36,76.7,29.72,9.09,1.63,0.92,50.61,75.08,67.26,28.79,8.54,0.95,0.86,84.07,86.07,51.94,36.79,7.82,1.2,0.79,86.45,84.4,69.72,37.39,9.03,1.63,0.91,52.03,94.7,41.07,25.52,5.78,0.36,0.58,81.53,78.33,70.06,38.69,8.77,1.8,0.89,133.87,101.5,67.6,31.04,8.19,0.8,0.81,88.86,85.33,69.56,27.13,9.07,1.25,0.91,91.16,92.2,69.4,32.22,8.73,1.32,0.88,81.79,83.62,76.46,30.75,8.58,2.21,0.87,113.5,71.23,75.6,50.78,2.23,2.71,0.22,98.37,150.03,63.44,23.23,8.45,0.94,0.86,89.85,82.01,66.51,41.9,9.12,1.91,0.91,92.57,87.49,69.64,36.06,9.33,1.46,0.94,71.22,88.91,52.65,40.1,8.57,0.76,0.86,93.33,85.6
76,2.50E+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,94.39,32.27,1.48,2.76,0.14,290.19,269.59,77.27,51.41,2.79,5.76,0.27,255.63,152.14,65.28,37.59,8.82,1.55,0.89,78.03,86.41,63.68,24.69,8.51,1.51,0.85,83.2,79.36,76.19,50.72,1.47,3.61,0.16,264.26,93.68,76.27,31.94,7.85,1.96,0.79,68.89,73.95,73.88,31.46,7.92,1.22,0.81,44.89,69.36,77.56,29.97,8.92,1.91,0.9,49.52,74.57,68.13,28.84,8.62,0.95,0.87,85.78,86.76,52.72,36.83,7.86,1.32,0.78,87.24,85.46,70.63,37.32,8.97,1.71,0.91,42.56,94.38,41.64,25.63,5.84,0.23,0.58,83.91,78.41,70.92,38.52,8.65,1.98,0.88,129.53,101.64,68.39,31.09,8.15,1.23,0.8,88.86,85.89,70.46,27.09,9.04,1.42,0.91,91.78,93,70.29,32.3,8.74,1.22,0.89,80.88,84.13,77.27,31.02,8.38,2.37,0.85,111.91,71.81,75.7,50.58,2.28,2.12,0.23,96.1,155.7,64.3,23.35,8.5,0.94,0.86,86.28,82.11,67.43,41.93,9.14,1.92,0.92,92.57,88.92,70.57,36.09,9.22,1.8,0.93,69.23,88.14,53.51,40.16,8.71,0.56,0.87,91,86.1
77,2.50E+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,94.21,32.27,1.96,3.24,0.18,290.19,267.08,77.38,51.13,3.14,5.42,0.3,252.66,163.77,66.16,37.64,8.78,1.51,0.88,80.17,86.95,64.52,24.85,8.51,1.34,0.85,80.33,78.79,76.32,50.66,1.38,3.84,0.15,254.8,117.8,77.02,32.16,7.77,1.87,0.78,68.89,73,74.62,31.74,7.85,1.35,0.8,38.52,69.32,78.41,30.21,8.72,2.22,0.88,46.2,74.14,68.99,28.89,8.63,0.98,0.87,88.54,87.5,53.51,36.85,7.94,1.37,0.79,90.19,86.67,71.53,37.28,8.89,2,0.9,30.89,92.9,42.22,25.75,5.88,0.26,0.59,81.98,79.12,71.76,38.35,8.44,2.27,0.85,124.36,101.05,69.2,31.13,8.12,1.43,0.81,89.79,86.38,71.37,27.04,9.09,1.25,0.91,89.68,93.55,71.16,32.38,8.68,1.38,0.87,79.47,85.16,78.06,31.26,8.11,2.75,0.82,110.19,73.05,75.79,50.36,2.37,1.58,0.23,90.74,159.48,65.14,23.46,8.42,1.22,0.85,88.15,82.29,68.35,41.93,9.12,2.1,0.92,93.96,90.61,71.49,36.12,9.1,1.96,0.92,64.09,87.51,54.38,40.22,8.72,0.49,0.87,91,86.19
78,2.50E+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,93.98,32.25,2.46,3.47,0.23,283.04,264.52,77.45,50.81,3.47,4.9,0.33,253.34,171.2,67.04,37.68,8.74,1.55,0.88,80.17,87.64,65.35,25.02,8.49,1.21,0.85,79.48,78.21,76.43,50.57,1.48,3.8,0.14,247.82,137.76,77.76,32.4,7.67,1.73,0.77,67.77,72.16,75.36,32.03,7.79,1.43,0.79,35.33,68.76,79.23,30.44,8.42,2.72,0.85,39.68,74.21,69.87,28.91,8.69,1.04,0.87,89.62,88.39,54.3,36.85,7.91,1.6,0.78,95.15,87.6,72.43,37.24,8.85,1.96,0.9,15.41,92.06,42.8,25.86,5.9,0.41,0.59,84.12,79.43,72.58,38.21,8.17,2.68,0.83,121.67,100.08,70.01,31.15,8.16,1.71,0.82,93.26,87.05,72.28,26.98,9.09,1.37,0.91,89.68,94.57,72.02,32.45,8.62,1.37,0.87,78.51,85.66,78.82,31.48,7.82,3.15,0.8,107.49,74.55,75.88,50.11,2.67,1.62,0.26,89.88,162.69,66,23.57,8.49,1.12,0.87,90.79,82.46,69.26,41.9,9.1,2.14,0.92,95.07,92.07,72.4,36.15,9.09,1.57,0.92,61.5,87.99,55.26,40.28,8.73,0.6,0.87,92.91,86.25
79,2.50E+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,93.72,32.22,2.86,3.44,0.27,281.87,263.82,77.48,50.44,3.81,4.23,0.36,254.18,177.2,67.93,37.71,8.77,1.31,0.88,76.87,88.07,66.18,25.19,8.46,1.19,0.85,79.48,77.78,76.52,50.44,1.7,3.56,0.16,238.31,150.25,78.49,32.64,7.67,1.3,0.77,68.36,71.8,76.07,32.31,7.65,1.66,0.77,33.48,68.17,80.03,30.67,8.16,2.92,0.83,31.7,73.74,70.74,28.93,8.69,1.13,0.87,89.62,89.03,55.1,36.85,7.97,1.76,0.8,95.15,88.63,73.31,37.22,8.71,2.07,0.88,5.12,91.22,43.39,25.97,5.97,0.37,0.6,85.47,79.2,73.38,38.1,7.92,2.96,0.81,118.09,98.42,70.79,31.17,8.08,1.89,0.78,90.93,87.6,73.19,26.9,9.08,1.25,0.91,88.69,94.88,72.88,32.51,8.57,1.67,0.86,78.51,86.8,79.56,31.66,7.47,3.78,0.76,104.43,76.89,75.96,49.85,2.79,1.25,0.27,89.88,164.08,66.86,23.67,8.5,1.17,0.86,87.96,83.27,70.18,41.86,9.07,2.13,0.91,95.07,93.35,73.31,36.17,8.99,1.61,0.91,65.55,88.57,56.13,40.33,8.74,0.86,0.88,96.14,86.88
80,2.50E+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,93.41,32.2,3.28,3.22,0.31,282.51,265.41,77.48,50.04,4.16,3.79,0.4,258.23,182.01,68.8,37.74,8.72,1.35,0.88,73.47,88.68,67.01,25.37,8.43,1.01,0.84,81.26,78.2,76.61,50.27,1.96,3.12,0.19,227.3,158.2,79.22,32.87,7.6,1.18,0.76,69.9,71.65,76.77,32.6,7.47,1.94,0.76,30.43,67.76,80.81,30.91,7.94,2.94,0.81,16.24,72.87,71.62,28.93,8.77,1.18,0.88,89.62,90.1,55.89,36.83,7.97,1.46,0.79,95.87,89.58,74.17,37.2,8.53,2.24,0.86,356.37,90.6,43.99,26.08,6.08,0.38,0.61,89.76,79.9,74.15,37.99,7.65,3.15,0.78,114.51,97.24,71.56,31.18,7.95,1.92,0.76,89.59,88.26,74.09,26.83,9.03,1.27,0.91,88.03,94.87,73.74,32.55,8.54,1.94,0.85,82.38,88.29,80.27,31.8,7.09,4.51,0.73,101.27,80.13,76.04,49.58,2.88,0.88,0.28,90.97,163.71,67.71,23.76,8.51,1.15,0.86,86.3,84.07,71.08,41.78,9,2.37,0.91,93.04,95.22,74.2,36.19,8.8,2.06,0.89,68.41,89.31,57.01,40.37,8.69,1.09,0.87,101.59,87.19
81,2.50E+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,93.06,32.18,3.59,2.73,0.34,281.38,266.73,77.45,49.61,4.4,3,0.43,258.23,185.11,69.68,37.76,8.65,1.38,0.87,71.22,88.71,67.84,25.53,8.38,1.17,0.84,78.59,79.08,76.69,50.07,2.21,2.58,0.21,213.96,161.05,79.94,33.11,7.53,1.2,0.76,71.51,71.63,77.46,32.88,7.31,2.07,0.74,26.1,67.6,81.55,31.12,7.56,3.24,0.77,351.73,73.61,72.5,28.92,8.8,1.25,0.88,90.9,90.97,56.7,36.78,8.06,1.45,0.81,97.59,90.79,75.02,37.2,8.39,2.21,0.85,343.29,89.96,44.61,26.19,6.21,0.31,0.62,89.76,80.21,74.89,37.91,7.34,3.41,0.75,107.41,95.69,72.31,31.17,7.83,2.31,0.76,90.36,89.01,74.99,26.76,8.99,1.31,0.9,84.91,94.91,74.58,32.57,8.47,2.07,0.85,82.99,89.52,80.95,31.9,6.71,4.89,0.69,98.63,83.62,76.14,49.29,3.04,0.73,0.31,93.14,162.96,68.57,23.84,8.5,1.32,0.86,86.3,84.89,71.98,41.68,8.99,2.48,0.91,93.04,97.21,75.07,36.18,8.67,2.2,0.88,76.48,90.22,57.88,40.41,8.72,1.08,0.88,109.86,87.59
82,2.50E+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,92.69,32.18,3.87,2.57,0.37,280.11,271.44,77.41,49.17,4.58,2.22,0.45,255.91,187.09,70.54,37.77,8.58,1.5,0.86,71.22,89.23,68.66,25.68,8.35,1.43,0.84,80.94,80.09,76.77,49.85,2.41,1.93,0.23,196.43,161.65,80.65,33.34,7.45,1.29,0.75,73.26,71.83,78.13,33.15,7.05,2.41,0.72,21.02,67.82,82.26,31.32,7.21,3.42,0.74,340.46,74.06,73.38,28.9,8.77,1.36,0.88,93.2,91.65,57.5,36.73,8.05,1.64,0.8,100.07,91.76,75.85,37.2,8.18,2.39,0.83,333.93,89.62,45.23,26.29,6.26,0.41,0.63,90.94,80.81,75.61,37.85,7.01,3.48,0.72,102.67,94.44,73.05,31.16,7.71,2.54,0.74,92.48,89.69,75.89,26.7,8.89,1.57,0.9,81.42,93.85,75.43,32.57,8.38,2.11,0.84,82.99,90.65,81.6,31.94,6.31,5.5,0.65,94.95,88.46,76.23,48.94,3.39,1.08,0.36,94.47,164.84,69.41,23.91,8.42,1.46,0.85,86.89,85.27,72.87,41.55,8.92,2.5,0.9,93.04,98.84,75.94,36.16,8.54,2.45,0.86,78.35,91.87,58.76,40.42,8.73,1.56,0.88,108.34,89.57
83,2.50E+13,0,46174,46672,46732,40579,41316,41448,42608,43407,43427,43491,45350,31018,36060,36086,42398,42514,43396,43498,43693,44859,44999,46958,92.29,32.2,4.08,2.55,0.4,280.11,274.83,77.35,48.71,4.66,1.41,0.46,258.88,188.4,71.4,37.78,8.57,1.43,0.86,71.22,89.87,69.49,25.81,8.32,1.75,0.84,81.7,81.54,76.85,49.62,2.6,1.43,0.25,187.75,161.18,81.35,33.57,7.34,1.46,0.74,74.72,72.42,78.76,33.4,6.67,2.96,0.68,11.35,68.36,82.93,31.5,6.8,3.68,0.7,320.14,75,74.27,28.86,8.81,1.36,0.89,92.38,92.53,58.32,36.67,8.11,1.8,0.82,100.07,92.65,76.65,37.21,7.86,2.8,0.8,325.76,89.32,45.85,26.39,6.28,0.47,0.63,92.54,81.29,76.29,37.8,6.64,3.56,0.68,98.07,93.44,73.75,31.13,7.49,2.67,0.7,89.81,90.45,76.77,26.65,8.76,1.96,0.88,77.74,92.81,76.26,32.55,8.27,2.14,0.83,81.79,91.76,82.21,31.93,5.93,5.92,0.61,90.25,93.82,76.32,48.6,3.55,0.96,0.35,101.79,164.88,70.26,23.98,8.41,1.27,0.85,85.48,85.61,73.75,41.4,8.83,2.48,0.89,94.65,100.27,76.78,36.11,8.37,2.92,0.85,79.93,94.06,59.65,40.4,8.76,1.86,0.89,102.1,91.38
