,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,25022018123000,0,46174,31018,64.74,52.46,5.45,5.1,0.57,270.12,251.96,63.71,52.1,4.69,3.21,0.48,54.99,328.54,0
1,25022018123000,0,46174,44859,87.4,41.61,7.1,2.16,0.71,318.28,2.74,86.41,41.82,5.21,2.8,0.52,86.7,50.17,0
2,25022018123000,0,46174,42398,63.29,51.88,5.12,2.11,0.53,270.29,245.36,64.56,51.82,7.86,2.82,0.79,260.64,266.46,1
3,41482018123000,0,46174,36060,37.0,2.37,1.69,3.0,0.16,80.99,111.11,37.53,3.42,4.21,3.58,0.43,211.15,219.57,1
4,12232018123001,0,44985,41997,83.46,30.15,2.31,2.01,0.23,180.35,170.28,82.35,29.3,5.26,5.3,0.54,13.28,90.92,1
5,12232018123001,0,44985,45312,83.42,30.38,2.59,1.68,0.25,181.27,168.21,84.72,30.37,2.78,0.9,0.28,242.0,220.41,1
6,13262018123001,0,33566,46223,62.7,1.85,0.91,4.81,0.08,10.65,15.99,63.15,2.79,6.3,6.73,0.64,181.22,192.14,1
7,15382018123001,0,33566,46223,58.43,33.48,3.03,3.06,0.29,61.57,9.07,59.3,34.0,5.9,4.89,0.6,233.51,235.66,1
8,22892018123001,0,44985,41997,93.88,8.01,7.88,1.13,0.78,234.94,199.79,92.65,8.64,6.6,2.84,0.66,159.91,171.88,1
9,23622018123002,0,41418,43486,68.38,51.89,7.34,3.33,0.75,228.03,266.1,68.72,50.51,8.19,4.21,0.83,351.78,301.19,1
10,31462018123002,0,46114,45657,82.03,18.27,3.76,1.92,0.37,244.37,174.93,81.06,18.83,7.09,5.93,0.72,111.66,76.16,0
11,1332018123003,0,44923,46137,45.13,48.22,5.33,5.05,0.56,59.37,56.92,46.21,47.54,6.22,4.15,0.64,305.71,14.94,1
12,12092018123003,0,42794,46130,37.54,29.73,4.76,3.57,0.53,84.24,91.44,37.29,31.08,5.84,3.57,0.6,112.99,156.68,1
13,15602018123003,0,42794,40217,46.4,26.35,1.38,4.88,0.12,135.45,178.15,47.54,25.76,4.4,6.49,0.46,280.42,295.95,1
14,19582018123003,0,42794,40253,41.05,33.6,3.78,3.95,0.35,67.42,109.68,41.89,34.68,6.27,4.91,0.57,212.02,218.04,1
15,20652018123003,0,44923,45643,74.66,52.27,6.99,4.29,0.72,278.23,271.12,73.67,51.38,7.91,2.92,0.8,357.82,333.88,0
16,33772018123003,0,42794,46316,55.31,45.12,8.49,2.19,0.85,96.26,107.49,56.09,45.38,0.77,4.37,0.09,264.1,268.61,0
